,tavg,tmin,tmax,zip,date,park
Coors Field2010-08-24T00:00:00,22.7,14.4,30.8,80204,2010-08-24T00:00:00,Coors Field
Coors Field2010-08-25T00:00:00,22.5,14.3,30.7,80204,2010-08-25T00:00:00,Coors Field
Coors Field2010-08-26T00:00:00,22.4,14.2,30.6,80204,2010-08-26T00:00:00,Coors Field
Coors Field2010-08-27T00:00:00,22.3,14.0,30.5,80204,2010-08-27T00:00:00,Coors Field
Coors Field2010-08-28T00:00:00,22.1,13.8,30.4,80204,2010-08-28T00:00:00,Coors Field
Coors Field2010-08-29T00:00:00,22.0,13.7,30.3,80204,2010-08-29T00:00:00,Coors Field
Coors Field2010-08-30T00:00:00,21.8,13.5,30.2,80204,2010-08-30T00:00:00,Coors Field
Coors Field2010-08-31T00:00:00,21.7,13.3,30.0,80204,2010-08-31T00:00:00,Coors Field
Coors Field2010-09-01T00:00:00,21.6,13.2,29.9,80204,2010-09-01T00:00:00,Coors Field
Coors Field2010-09-02T00:00:00,21.4,13.0,29.7,80204,2010-09-02T00:00:00,Coors Field
Coors Field2010-09-03T00:00:00,21.2,12.8,29.6,80204,2010-09-03T00:00:00,Coors Field
Coors Field2010-09-04T00:00:00,21.1,12.6,29.4,80204,2010-09-04T00:00:00,Coors Field
Coors Field2010-09-05T00:00:00,20.8,12.4,29.3,80204,2010-09-05T00:00:00,Coors Field
Coors Field2010-09-06T00:00:00,20.7,12.2,29.2,80204,2010-09-06T00:00:00,Coors Field
Coors Field2010-09-07T00:00:00,20.5,12.0,29.0,80204,2010-09-07T00:00:00,Coors Field
Coors Field2010-09-08T00:00:00,20.3,11.8,28.8,80204,2010-09-08T00:00:00,Coors Field
Coors Field2010-09-09T00:00:00,20.1,11.6,28.6,80204,2010-09-09T00:00:00,Coors Field
Coors Field2010-09-10T00:00:00,19.9,11.3,28.4,80204,2010-09-10T00:00:00,Coors Field
Coors Field2010-09-11T00:00:00,19.7,11.1,28.2,80204,2010-09-11T00:00:00,Coors Field
Coors Field2010-09-12T00:00:00,19.5,10.9,28.1,80204,2010-09-12T00:00:00,Coors Field
Coors Field2010-09-13T00:00:00,19.3,10.7,27.8,80204,2010-09-13T00:00:00,Coors Field
Coors Field2010-09-14T00:00:00,19.1,10.4,27.6,80204,2010-09-14T00:00:00,Coors Field
Coors Field2010-09-15T00:00:00,18.8,10.2,27.4,80204,2010-09-15T00:00:00,Coors Field
Coors Field2010-09-16T00:00:00,18.6,9.9,27.2,80204,2010-09-16T00:00:00,Coors Field
Coors Field2010-09-17T00:00:00,18.3,9.7,26.9,80204,2010-09-17T00:00:00,Coors Field
Coors Field2010-09-18T00:00:00,18.1,9.4,26.7,80204,2010-09-18T00:00:00,Coors Field
Coors Field2010-09-19T00:00:00,17.8,9.2,26.5,80204,2010-09-19T00:00:00,Coors Field
Coors Field2010-09-20T00:00:00,17.6,8.9,26.3,80204,2010-09-20T00:00:00,Coors Field
Coors Field2010-09-21T00:00:00,17.3,8.7,26.0,80204,2010-09-21T00:00:00,Coors Field
Coors Field2010-09-22T00:00:00,17.1,8.4,25.8,80204,2010-09-22T00:00:00,Coors Field
Coors Field2010-09-23T00:00:00,16.8,8.2,25.5,80204,2010-09-23T00:00:00,Coors Field
Coors Field2010-09-24T00:00:00,16.6,7.9,25.2,80204,2010-09-24T00:00:00,Coors Field
Coors Field2010-09-25T00:00:00,16.3,7.6,25.0,80204,2010-09-25T00:00:00,Coors Field
Coors Field2010-09-26T00:00:00,16.1,7.3,24.7,80204,2010-09-26T00:00:00,Coors Field
Coors Field2010-09-27T00:00:00,15.8,7.1,24.4,80204,2010-09-27T00:00:00,Coors Field
Coors Field2010-09-28T00:00:00,15.5,6.8,24.2,80204,2010-09-28T00:00:00,Coors Field
Coors Field2010-09-29T00:00:00,15.3,6.6,23.9,80204,2010-09-29T00:00:00,Coors Field
Coors Field2010-09-30T00:00:00,15.0,6.3,23.7,80204,2010-09-30T00:00:00,Coors Field
Coors Field2010-10-01T00:00:00,14.7,6.1,23.4,80204,2010-10-01T00:00:00,Coors Field
Coors Field2010-10-02T00:00:00,14.4,5.8,23.2,80204,2010-10-02T00:00:00,Coors Field
Coors Field2010-10-03T00:00:00,14.2,5.6,22.9,80204,2010-10-03T00:00:00,Coors Field
Coors Field2010-10-04T00:00:00,13.9,5.3,22.6,80204,2010-10-04T00:00:00,Coors Field
Coors Field2010-10-05T00:00:00,13.7,5.1,22.4,80204,2010-10-05T00:00:00,Coors Field
Coors Field2010-10-06T00:00:00,13.4,4.8,22.1,80204,2010-10-06T00:00:00,Coors Field
Coors Field2010-10-07T00:00:00,13.2,4.6,21.8,80204,2010-10-07T00:00:00,Coors Field
Coors Field2010-10-08T00:00:00,12.9,4.3,21.6,80204,2010-10-08T00:00:00,Coors Field
Coors Field2010-10-09T00:00:00,12.7,4.1,21.3,80204,2010-10-09T00:00:00,Coors Field
Coors Field2010-10-10T00:00:00,12.5,3.9,21.1,80204,2010-10-10T00:00:00,Coors Field
Coors Field2010-10-11T00:00:00,12.3,3.7,20.8,80204,2010-10-11T00:00:00,Coors Field
Coors Field2010-10-12T00:00:00,12.0,3.4,20.6,80204,2010-10-12T00:00:00,Coors Field
Coors Field2010-10-13T00:00:00,11.8,3.2,20.4,80204,2010-10-13T00:00:00,Coors Field
Coors Field2010-10-14T00:00:00,11.6,3.0,20.2,80204,2010-10-14T00:00:00,Coors Field
Coors Field2010-10-15T00:00:00,11.3,2.8,19.9,80204,2010-10-15T00:00:00,Coors Field
Coors Field2010-10-16T00:00:00,11.2,2.6,19.7,80204,2010-10-16T00:00:00,Coors Field
Coors Field2010-10-17T00:00:00,10.9,2.4,19.4,80204,2010-10-17T00:00:00,Coors Field
Coors Field2010-10-18T00:00:00,10.7,2.2,19.2,80204,2010-10-18T00:00:00,Coors Field
Coors Field2010-10-19T00:00:00,10.5,2.0,19.0,80204,2010-10-19T00:00:00,Coors Field
Coors Field2010-10-20T00:00:00,10.3,1.8,18.8,80204,2010-10-20T00:00:00,Coors Field
Coors Field2010-10-21T00:00:00,10.1,1.6,18.6,80204,2010-10-21T00:00:00,Coors Field
Coors Field2010-10-22T00:00:00,9.9,1.4,18.4,80204,2010-10-22T00:00:00,Coors Field
Coors Field2010-10-23T00:00:00,9.7,1.3,18.2,80204,2010-10-23T00:00:00,Coors Field
Coors Field2010-10-24T00:00:00,9.5,1.1,17.9,80204,2010-10-24T00:00:00,Coors Field
Coors Field2010-10-25T00:00:00,9.3,0.9,17.7,80204,2010-10-25T00:00:00,Coors Field
Coors Field2010-10-26T00:00:00,9.1,0.7,17.5,80204,2010-10-26T00:00:00,Coors Field
Coors Field2010-10-27T00:00:00,8.9,0.6,17.3,80204,2010-10-27T00:00:00,Coors Field
Coors Field2010-10-28T00:00:00,8.7,0.3,17.1,80204,2010-10-28T00:00:00,Coors Field
Coors Field2010-10-29T00:00:00,8.5,0.2,16.8,80204,2010-10-29T00:00:00,Coors Field
Coors Field2010-10-30T00:00:00,8.3,0.0,16.7,80204,2010-10-30T00:00:00,Coors Field
Coors Field2010-10-31T00:00:00,8.1,-0.2,16.4,80204,2010-10-31T00:00:00,Coors Field
Coors Field2010-11-01T00:00:00,7.9,-0.4,16.2,80204,2010-11-01T00:00:00,Coors Field
Comerica Park2010-03-01T00:00:00,-0.3,-4.1,3.5,48234,2010-03-01T00:00:00,Comerica Park
Comerica Park2010-03-02T00:00:00,-0.1,-3.9,3.7,48234,2010-03-02T00:00:00,Comerica Park
Comerica Park2010-03-03T00:00:00,0.1,-3.8,3.9,48234,2010-03-03T00:00:00,Comerica Park
Comerica Park2010-03-04T00:00:00,0.2,-3.7,4.1,48234,2010-03-04T00:00:00,Comerica Park
Comerica Park2010-03-05T00:00:00,0.4,-3.6,4.3,48234,2010-03-05T00:00:00,Comerica Park
Comerica Park2010-03-06T00:00:00,0.6,-3.4,4.5,48234,2010-03-06T00:00:00,Comerica Park
Comerica Park2010-03-07T00:00:00,0.7,-3.3,4.7,48234,2010-03-07T00:00:00,Comerica Park
Comerica Park2010-03-08T00:00:00,0.9,-3.1,4.9,48234,2010-03-08T00:00:00,Comerica Park
Comerica Park2010-03-09T00:00:00,1.1,-2.9,5.2,48234,2010-03-09T00:00:00,Comerica Park
Comerica Park2010-03-10T00:00:00,1.3,-2.8,5.4,48234,2010-03-10T00:00:00,Comerica Park
Comerica Park2010-03-11T00:00:00,1.4,-2.7,5.6,48234,2010-03-11T00:00:00,Comerica Park
Comerica Park2010-03-12T00:00:00,1.7,-2.5,5.8,48234,2010-03-12T00:00:00,Comerica Park
Comerica Park2010-03-13T00:00:00,1.8,-2.3,6.0,48234,2010-03-13T00:00:00,Comerica Park
Comerica Park2010-03-14T00:00:00,2.1,-2.2,6.2,48234,2010-03-14T00:00:00,Comerica Park
Comerica Park2010-03-15T00:00:00,2.2,-2.0,6.5,48234,2010-03-15T00:00:00,Comerica Park
Comerica Park2010-03-16T00:00:00,2.4,-1.8,6.7,48234,2010-03-16T00:00:00,Comerica Park
Comerica Park2010-03-17T00:00:00,2.6,-1.7,6.9,48234,2010-03-17T00:00:00,Comerica Park
Comerica Park2010-03-18T00:00:00,2.8,-1.5,7.2,48234,2010-03-18T00:00:00,Comerica Park
Comerica Park2010-03-19T00:00:00,3.1,-1.3,7.4,48234,2010-03-19T00:00:00,Comerica Park
Comerica Park2010-03-20T00:00:00,3.3,-1.1,7.6,48234,2010-03-20T00:00:00,Comerica Park
Comerica Park2010-03-21T00:00:00,3.4,-0.9,7.9,48234,2010-03-21T00:00:00,Comerica Park
Comerica Park2010-03-22T00:00:00,3.7,-0.7,8.1,48234,2010-03-22T00:00:00,Comerica Park
Comerica Park2010-03-23T00:00:00,3.9,-0.6,8.3,48234,2010-03-23T00:00:00,Comerica Park
Comerica Park2010-03-24T00:00:00,4.1,-0.4,8.6,48234,2010-03-24T00:00:00,Comerica Park
Comerica Park2010-03-25T00:00:00,4.3,-0.2,8.8,48234,2010-03-25T00:00:00,Comerica Park
Comerica Park2010-03-26T00:00:00,4.6,0.0,9.1,48234,2010-03-26T00:00:00,Comerica Park
Comerica Park2010-03-27T00:00:00,4.8,0.2,9.3,48234,2010-03-27T00:00:00,Comerica Park
Comerica Park2010-03-28T00:00:00,5.0,0.4,9.6,48234,2010-03-28T00:00:00,Comerica Park
Comerica Park2010-03-29T00:00:00,5.2,0.6,9.8,48234,2010-03-29T00:00:00,Comerica Park
Comerica Park2010-03-30T00:00:00,5.4,0.8,10.1,48234,2010-03-30T00:00:00,Comerica Park
Comerica Park2010-03-31T00:00:00,5.7,1.1,10.3,48234,2010-03-31T00:00:00,Comerica Park
Comerica Park2010-04-01T00:00:00,5.9,1.2,10.6,48234,2010-04-01T00:00:00,Comerica Park
Comerica Park2010-04-02T00:00:00,6.1,1.4,10.8,48234,2010-04-02T00:00:00,Comerica Park
Comerica Park2010-04-03T00:00:00,6.4,1.7,11.1,48234,2010-04-03T00:00:00,Comerica Park
Comerica Park2010-04-04T00:00:00,6.6,1.9,11.3,48234,2010-04-04T00:00:00,Comerica Park
Comerica Park2010-04-05T00:00:00,6.8,2.1,11.6,48234,2010-04-05T00:00:00,Comerica Park
Comerica Park2010-04-06T00:00:00,7.1,2.3,11.8,48234,2010-04-06T00:00:00,Comerica Park
Comerica Park2010-04-07T00:00:00,7.3,2.5,12.1,48234,2010-04-07T00:00:00,Comerica Park
Comerica Park2010-04-08T00:00:00,7.5,2.7,12.3,48234,2010-04-08T00:00:00,Comerica Park
Comerica Park2010-04-09T00:00:00,7.7,2.9,12.6,48234,2010-04-09T00:00:00,Comerica Park
Comerica Park2010-04-10T00:00:00,7.9,3.1,12.8,48234,2010-04-10T00:00:00,Comerica Park
Comerica Park2010-04-11T00:00:00,8.2,3.3,13.1,48234,2010-04-11T00:00:00,Comerica Park
Comerica Park2010-04-12T00:00:00,8.4,3.6,13.3,48234,2010-04-12T00:00:00,Comerica Park
Comerica Park2010-04-13T00:00:00,8.7,3.7,13.6,48234,2010-04-13T00:00:00,Comerica Park
Comerica Park2010-04-14T00:00:00,8.9,3.9,13.8,48234,2010-04-14T00:00:00,Comerica Park
Comerica Park2010-04-15T00:00:00,9.1,4.2,14.1,48234,2010-04-15T00:00:00,Comerica Park
Comerica Park2010-04-16T00:00:00,9.3,4.3,14.3,48234,2010-04-16T00:00:00,Comerica Park
Comerica Park2010-04-17T00:00:00,9.6,4.6,14.6,48234,2010-04-17T00:00:00,Comerica Park
Comerica Park2010-04-18T00:00:00,9.8,4.8,14.8,48234,2010-04-18T00:00:00,Comerica Park
Comerica Park2010-04-19T00:00:00,10.0,4.9,15.0,48234,2010-04-19T00:00:00,Comerica Park
Comerica Park2010-04-20T00:00:00,10.2,5.2,15.2,48234,2010-04-20T00:00:00,Comerica Park
Comerica Park2010-04-21T00:00:00,10.4,5.4,15.5,48234,2010-04-21T00:00:00,Comerica Park
Comerica Park2010-04-22T00:00:00,10.6,5.6,15.7,48234,2010-04-22T00:00:00,Comerica Park
Comerica Park2010-04-23T00:00:00,10.8,5.8,15.9,48234,2010-04-23T00:00:00,Comerica Park
Comerica Park2010-04-24T00:00:00,11.1,5.9,16.2,48234,2010-04-24T00:00:00,Comerica Park
Comerica Park2010-04-25T00:00:00,11.3,6.2,16.4,48234,2010-04-25T00:00:00,Comerica Park
Comerica Park2010-04-26T00:00:00,11.4,6.3,16.6,48234,2010-04-26T00:00:00,Comerica Park
Comerica Park2010-04-27T00:00:00,11.7,6.5,16.8,48234,2010-04-27T00:00:00,Comerica Park
Comerica Park2010-04-28T00:00:00,11.9,6.7,17.0,48234,2010-04-28T00:00:00,Comerica Park
Comerica Park2010-04-29T00:00:00,12.1,6.9,17.2,48234,2010-04-29T00:00:00,Comerica Park
Comerica Park2010-04-30T00:00:00,12.3,7.1,17.4,48234,2010-04-30T00:00:00,Comerica Park
Comerica Park2010-05-01T00:00:00,12.4,7.3,17.7,48234,2010-05-01T00:00:00,Comerica Park
Comerica Park2010-05-02T00:00:00,12.7,7.4,17.8,48234,2010-05-02T00:00:00,Comerica Park
Comerica Park2010-05-03T00:00:00,12.8,7.7,18.1,48234,2010-05-03T00:00:00,Comerica Park
Comerica Park2010-05-04T00:00:00,13.1,7.8,18.2,48234,2010-05-04T00:00:00,Comerica Park
Comerica Park2010-05-05T00:00:00,13.2,8.0,18.4,48234,2010-05-05T00:00:00,Comerica Park
Comerica Park2010-05-06T00:00:00,13.4,8.2,18.6,48234,2010-05-06T00:00:00,Comerica Park
Comerica Park2010-05-07T00:00:00,13.6,8.4,18.8,48234,2010-05-07T00:00:00,Comerica Park
Comerica Park2010-05-08T00:00:00,13.8,8.6,19.0,48234,2010-05-08T00:00:00,Comerica Park
Comerica Park2010-05-09T00:00:00,13.9,8.7,19.2,48234,2010-05-09T00:00:00,Comerica Park
Comerica Park2010-05-10T00:00:00,14.1,8.9,19.3,48234,2010-05-10T00:00:00,Comerica Park
Comerica Park2010-05-11T00:00:00,14.3,9.1,19.6,48234,2010-05-11T00:00:00,Comerica Park
Comerica Park2010-05-12T00:00:00,14.5,9.3,19.7,48234,2010-05-12T00:00:00,Comerica Park
Comerica Park2010-05-13T00:00:00,14.7,9.4,19.9,48234,2010-05-13T00:00:00,Comerica Park
Comerica Park2010-05-14T00:00:00,14.8,9.7,20.1,48234,2010-05-14T00:00:00,Comerica Park
Comerica Park2010-05-15T00:00:00,15.1,9.8,20.2,48234,2010-05-15T00:00:00,Comerica Park
Comerica Park2010-05-16T00:00:00,15.2,10.0,20.4,48234,2010-05-16T00:00:00,Comerica Park
Comerica Park2010-05-17T00:00:00,15.4,10.2,20.6,48234,2010-05-17T00:00:00,Comerica Park
Comerica Park2010-05-18T00:00:00,15.6,10.4,20.8,48234,2010-05-18T00:00:00,Comerica Park
Comerica Park2010-05-19T00:00:00,15.8,10.6,20.9,48234,2010-05-19T00:00:00,Comerica Park
Comerica Park2010-05-20T00:00:00,15.9,10.8,21.1,48234,2010-05-20T00:00:00,Comerica Park
Comerica Park2010-05-21T00:00:00,16.1,10.9,21.3,48234,2010-05-21T00:00:00,Comerica Park
Comerica Park2010-05-22T00:00:00,16.3,11.2,21.4,48234,2010-05-22T00:00:00,Comerica Park
Comerica Park2010-05-23T00:00:00,16.5,11.3,21.6,48234,2010-05-23T00:00:00,Comerica Park
Comerica Park2010-05-24T00:00:00,16.7,11.6,21.8,48234,2010-05-24T00:00:00,Comerica Park
Comerica Park2010-05-25T00:00:00,16.8,11.7,22.0,48234,2010-05-25T00:00:00,Comerica Park
Comerica Park2010-05-26T00:00:00,17.1,11.9,22.2,48234,2010-05-26T00:00:00,Comerica Park
Comerica Park2010-05-27T00:00:00,17.2,12.1,22.3,48234,2010-05-27T00:00:00,Comerica Park
Comerica Park2010-05-28T00:00:00,17.4,12.3,22.5,48234,2010-05-28T00:00:00,Comerica Park
Comerica Park2010-05-29T00:00:00,17.6,12.6,22.7,48234,2010-05-29T00:00:00,Comerica Park
Comerica Park2010-05-30T00:00:00,17.8,12.7,22.9,48234,2010-05-30T00:00:00,Comerica Park
Comerica Park2010-05-31T00:00:00,18.0,12.9,23.1,48234,2010-05-31T00:00:00,Comerica Park
Comerica Park2010-06-01T00:00:00,18.2,13.1,23.2,48234,2010-06-01T00:00:00,Comerica Park
Comerica Park2010-06-02T00:00:00,18.4,13.3,23.4,48234,2010-06-02T00:00:00,Comerica Park
Comerica Park2010-06-03T00:00:00,18.6,13.5,23.6,48234,2010-06-03T00:00:00,Comerica Park
Comerica Park2010-06-04T00:00:00,18.8,13.7,23.8,48234,2010-06-04T00:00:00,Comerica Park
Comerica Park2010-06-05T00:00:00,18.9,13.9,23.9,48234,2010-06-05T00:00:00,Comerica Park
Comerica Park2010-06-06T00:00:00,19.1,14.1,24.2,48234,2010-06-06T00:00:00,Comerica Park
Comerica Park2010-06-07T00:00:00,19.3,14.3,24.3,48234,2010-06-07T00:00:00,Comerica Park
Comerica Park2010-06-08T00:00:00,19.5,14.5,24.5,48234,2010-06-08T00:00:00,Comerica Park
Comerica Park2010-06-09T00:00:00,19.7,14.7,24.7,48234,2010-06-09T00:00:00,Comerica Park
Comerica Park2010-06-10T00:00:00,19.9,14.9,24.9,48234,2010-06-10T00:00:00,Comerica Park
Comerica Park2010-06-11T00:00:00,20.1,15.1,25.1,48234,2010-06-11T00:00:00,Comerica Park
Comerica Park2010-06-12T00:00:00,20.2,15.3,25.2,48234,2010-06-12T00:00:00,Comerica Park
Comerica Park2010-06-13T00:00:00,20.4,15.4,25.4,48234,2010-06-13T00:00:00,Comerica Park
Comerica Park2010-06-14T00:00:00,20.6,15.6,25.6,48234,2010-06-14T00:00:00,Comerica Park
Comerica Park2010-06-15T00:00:00,20.8,15.8,25.8,48234,2010-06-15T00:00:00,Comerica Park
Comerica Park2010-06-16T00:00:00,20.9,15.9,25.9,48234,2010-06-16T00:00:00,Comerica Park
Comerica Park2010-06-17T00:00:00,21.1,16.1,26.1,48234,2010-06-17T00:00:00,Comerica Park
Comerica Park2010-06-18T00:00:00,21.3,16.3,26.3,48234,2010-06-18T00:00:00,Comerica Park
Comerica Park2010-06-19T00:00:00,21.4,16.4,26.4,48234,2010-06-19T00:00:00,Comerica Park
Comerica Park2010-06-20T00:00:00,21.6,16.6,26.6,48234,2010-06-20T00:00:00,Comerica Park
Comerica Park2010-06-21T00:00:00,21.7,16.7,26.7,48234,2010-06-21T00:00:00,Comerica Park
Comerica Park2010-06-22T00:00:00,21.9,16.9,26.8,48234,2010-06-22T00:00:00,Comerica Park
Comerica Park2010-06-23T00:00:00,22.0,17.0,27.0,48234,2010-06-23T00:00:00,Comerica Park
Comerica Park2010-06-24T00:00:00,22.1,17.1,27.1,48234,2010-06-24T00:00:00,Comerica Park
Comerica Park2010-06-25T00:00:00,22.3,17.3,27.2,48234,2010-06-25T00:00:00,Comerica Park
Comerica Park2010-06-26T00:00:00,22.4,17.4,27.4,48234,2010-06-26T00:00:00,Comerica Park
Comerica Park2010-06-27T00:00:00,22.5,17.5,27.5,48234,2010-06-27T00:00:00,Comerica Park
Comerica Park2010-06-28T00:00:00,22.6,17.6,27.6,48234,2010-06-28T00:00:00,Comerica Park
Comerica Park2010-06-29T00:00:00,22.7,17.7,27.7,48234,2010-06-29T00:00:00,Comerica Park
Comerica Park2010-06-30T00:00:00,22.8,17.8,27.8,48234,2010-06-30T00:00:00,Comerica Park
Comerica Park2010-07-01T00:00:00,22.9,17.9,27.8,48234,2010-07-01T00:00:00,Comerica Park
Comerica Park2010-07-02T00:00:00,22.9,17.9,27.9,48234,2010-07-02T00:00:00,Comerica Park
Comerica Park2010-07-03T00:00:00,23.0,18.1,28.0,48234,2010-07-03T00:00:00,Comerica Park
Comerica Park2010-07-04T00:00:00,23.1,18.1,28.1,48234,2010-07-04T00:00:00,Comerica Park
Comerica Park2010-07-05T00:00:00,23.2,18.2,28.1,48234,2010-07-05T00:00:00,Comerica Park
Comerica Park2010-07-06T00:00:00,23.2,18.2,28.2,48234,2010-07-06T00:00:00,Comerica Park
Comerica Park2010-07-07T00:00:00,23.3,18.3,28.2,48234,2010-07-07T00:00:00,Comerica Park
Comerica Park2010-07-08T00:00:00,23.3,18.3,28.2,48234,2010-07-08T00:00:00,Comerica Park
Comerica Park2010-07-09T00:00:00,23.3,18.4,28.3,48234,2010-07-09T00:00:00,Comerica Park
Comerica Park2010-07-10T00:00:00,23.3,18.4,28.3,48234,2010-07-10T00:00:00,Comerica Park
Comerica Park2010-07-11T00:00:00,23.4,18.4,28.3,48234,2010-07-11T00:00:00,Comerica Park
Comerica Park2010-07-12T00:00:00,23.4,18.5,28.3,48234,2010-07-12T00:00:00,Comerica Park
Comerica Park2010-07-13T00:00:00,23.4,18.5,28.3,48234,2010-07-13T00:00:00,Comerica Park
Comerica Park2010-07-14T00:00:00,23.4,18.6,28.3,48234,2010-07-14T00:00:00,Comerica Park
Comerica Park2010-07-15T00:00:00,23.4,18.6,28.3,48234,2010-07-15T00:00:00,Comerica Park
Comerica Park2010-07-16T00:00:00,23.4,18.6,28.3,48234,2010-07-16T00:00:00,Comerica Park
Comerica Park2010-07-17T00:00:00,23.4,18.6,28.3,48234,2010-07-17T00:00:00,Comerica Park
Comerica Park2010-07-18T00:00:00,23.4,18.6,28.2,48234,2010-07-18T00:00:00,Comerica Park
Comerica Park2010-07-19T00:00:00,23.4,18.6,28.2,48234,2010-07-19T00:00:00,Comerica Park
Comerica Park2010-07-20T00:00:00,23.4,18.6,28.2,48234,2010-07-20T00:00:00,Comerica Park
Comerica Park2010-07-21T00:00:00,23.4,18.6,28.2,48234,2010-07-21T00:00:00,Comerica Park
Comerica Park2010-07-22T00:00:00,23.4,18.6,28.1,48234,2010-07-22T00:00:00,Comerica Park
Comerica Park2010-07-23T00:00:00,23.3,18.6,28.1,48234,2010-07-23T00:00:00,Comerica Park
Comerica Park2010-07-24T00:00:00,23.3,18.6,28.1,48234,2010-07-24T00:00:00,Comerica Park
Comerica Park2010-07-25T00:00:00,23.3,18.6,28.0,48234,2010-07-25T00:00:00,Comerica Park
Comerica Park2010-07-26T00:00:00,23.3,18.6,27.9,48234,2010-07-26T00:00:00,Comerica Park
Comerica Park2010-07-27T00:00:00,23.2,18.6,27.9,48234,2010-07-27T00:00:00,Comerica Park
Comerica Park2010-07-28T00:00:00,23.2,18.6,27.9,48234,2010-07-28T00:00:00,Comerica Park
Comerica Park2010-07-29T00:00:00,23.2,18.6,27.8,48234,2010-07-29T00:00:00,Comerica Park
Comerica Park2010-07-30T00:00:00,23.2,18.6,27.8,48234,2010-07-30T00:00:00,Comerica Park
Comerica Park2010-07-31T00:00:00,23.1,18.5,27.7,48234,2010-07-31T00:00:00,Comerica Park
Comerica Park2010-08-01T00:00:00,23.1,18.5,27.7,48234,2010-08-01T00:00:00,Comerica Park
Comerica Park2010-08-02T00:00:00,23.1,18.5,27.7,48234,2010-08-02T00:00:00,Comerica Park
Comerica Park2010-08-03T00:00:00,23.0,18.4,27.6,48234,2010-08-03T00:00:00,Comerica Park
Comerica Park2010-08-04T00:00:00,23.0,18.4,27.6,48234,2010-08-04T00:00:00,Comerica Park
Comerica Park2010-08-05T00:00:00,22.9,18.4,27.5,48234,2010-08-05T00:00:00,Comerica Park
Comerica Park2010-08-06T00:00:00,22.9,18.4,27.4,48234,2010-08-06T00:00:00,Comerica Park
Comerica Park2010-08-07T00:00:00,22.9,18.3,27.4,48234,2010-08-07T00:00:00,Comerica Park
Comerica Park2010-08-08T00:00:00,22.8,18.3,27.4,48234,2010-08-08T00:00:00,Comerica Park
Comerica Park2010-08-09T00:00:00,22.8,18.3,27.3,48234,2010-08-09T00:00:00,Comerica Park
Comerica Park2010-08-10T00:00:00,22.8,18.2,27.3,48234,2010-08-10T00:00:00,Comerica Park
Comerica Park2010-08-11T00:00:00,22.7,18.2,27.2,48234,2010-08-11T00:00:00,Comerica Park
Comerica Park2010-08-12T00:00:00,22.7,18.2,27.2,48234,2010-08-12T00:00:00,Comerica Park
Comerica Park2010-08-13T00:00:00,22.6,18.1,27.1,48234,2010-08-13T00:00:00,Comerica Park
Comerica Park2010-08-14T00:00:00,22.6,18.1,27.1,48234,2010-08-14T00:00:00,Comerica Park
Comerica Park2010-08-15T00:00:00,22.5,18.0,27.1,48234,2010-08-15T00:00:00,Comerica Park
Comerica Park2010-08-16T00:00:00,22.4,17.9,27.0,48234,2010-08-16T00:00:00,Comerica Park
Comerica Park2010-08-17T00:00:00,22.4,17.9,26.9,48234,2010-08-17T00:00:00,Comerica Park
Comerica Park2010-08-18T00:00:00,22.3,17.8,26.9,48234,2010-08-18T00:00:00,Comerica Park
Comerica Park2010-08-19T00:00:00,22.3,17.7,26.8,48234,2010-08-19T00:00:00,Comerica Park
Comerica Park2010-08-20T00:00:00,22.2,17.7,26.7,48234,2010-08-20T00:00:00,Comerica Park
Comerica Park2010-08-21T00:00:00,22.1,17.6,26.7,48234,2010-08-21T00:00:00,Comerica Park
Comerica Park2010-08-22T00:00:00,22.1,17.5,26.6,48234,2010-08-22T00:00:00,Comerica Park
Comerica Park2010-08-23T00:00:00,21.9,17.4,26.6,48234,2010-08-23T00:00:00,Comerica Park
Comerica Park2010-08-24T00:00:00,21.9,17.3,26.4,48234,2010-08-24T00:00:00,Comerica Park
Comerica Park2010-08-25T00:00:00,21.8,17.2,26.4,48234,2010-08-25T00:00:00,Comerica Park
Comerica Park2010-08-26T00:00:00,21.7,17.1,26.3,48234,2010-08-26T00:00:00,Comerica Park
Comerica Park2010-08-27T00:00:00,21.6,17.0,26.2,48234,2010-08-27T00:00:00,Comerica Park
Comerica Park2010-08-28T00:00:00,21.4,16.8,26.1,48234,2010-08-28T00:00:00,Comerica Park
Comerica Park2010-08-29T00:00:00,21.3,16.7,25.9,48234,2010-08-29T00:00:00,Comerica Park
Comerica Park2010-08-30T00:00:00,21.2,16.6,25.8,48234,2010-08-30T00:00:00,Comerica Park
Comerica Park2010-08-31T00:00:00,21.1,16.4,25.7,48234,2010-08-31T00:00:00,Comerica Park
Comerica Park2010-09-01T00:00:00,20.9,16.3,25.6,48234,2010-09-01T00:00:00,Comerica Park
Comerica Park2010-09-02T00:00:00,20.8,16.1,25.4,48234,2010-09-02T00:00:00,Comerica Park
Comerica Park2010-09-03T00:00:00,20.7,15.9,25.3,48234,2010-09-03T00:00:00,Comerica Park
Comerica Park2010-09-04T00:00:00,20.5,15.8,25.2,48234,2010-09-04T00:00:00,Comerica Park
Comerica Park2010-09-05T00:00:00,20.3,15.6,25.0,48234,2010-09-05T00:00:00,Comerica Park
Comerica Park2010-09-06T00:00:00,20.2,15.4,24.8,48234,2010-09-06T00:00:00,Comerica Park
